#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
582        1        25        1        1,0,0        13.230659
354        2        24        3        3,0,0        11.142769
570        3        19        7        7,0,0        11.592659
363        4        18        9        6,9,0        10.892372
189        5        15        12        5,12,0        8.475939
183        6        4        15        10,15,0        9.203905
345        7        5        18        13,18,0        10.415794
406        7        20        31        26,31,0        12.803823
438        7        32        23        17,23,0        11.279646
12        9        11        28        16,28,0        10.538177
111        9        4        27        20,27,0        11.648611
97        10        11        30        21,30,0        10.692165
252        12        9        36        29,36,0        9.670956
55        13        16        42        33,42,0        11.984512
61        14        1        45        34,45,0        10.498413
220        14        30        47        38,47,0        11.734388
316        15        25        49        40,49,0        9.453756
163        16        20        53        44,53,0        9.179541
328        17        19        55        48,55,0        7.920162
#Delay 1.500000    25    0    25    0    25    25    25    0    25    25    0    25    25    0    25    25    25    25    0    25    25    0    25    0    0    25    25    25    25    25    25    0    25    25    0    25    0    25    0    25    0    25    0    1    25    0    25    3    25    0    0    0    25    0    25    
#Delay 1.643000    25    0    24    0    25    25    25    0    25    24    0    25    25    0    25    25    25    25    0    25    24    0    25    0    0    25    25    25    25    25    24    0    25    25    0    24    0    25    0    25    0    25    0    0    25    0    24    3    25    0    0    0    25    0    25    
#Delay 1.786000    26    0    26    0    26    26    26    0    26    25    0    26    25    0    25    25    26    26    0    26    26    0    26    0    0    26    26    26    26    26    26    0    23    26    0    25    0    26    0    26    0    23    0    0    26    0    26    1    26    0    0    0    26    0    26    
#Delay 1.929000    25    0    25    0    22    24    24    0    23    22    0    24    23    0    23    20    24    25    0    25    16    0    25    0    0    25    24    25    25    24    23    0    23    25    0    17    0    24    0    25    0    24    0    0    25    0    21    0    24    0    0    0    25    0    25    
#Delay 2.072000    21    0    22    0    21    20    20    0    19    21    0    24    21    0    23    17    22    24    0    24    12    0    22    0    0    23    22    25    23    21    18    0    20    24    0    16    0    22    0    24    0    24    0    0    24    0    13    0    23    0    0    0    25    0    25    
#Delay 2.215000    16    0    17    0    11    15    14    0    15    14    0    22    16    0    15    15    14    23    0    22    8    0    14    0    0    23    18    22    22    23    15    0    19    22    0    11    0    23    0    21    0    23    0    0    22    0    17    0    16    0    0    0    25    0    25    
#Delay 2.358000    12    0    11    0    9    8    8    0    6    5    0    20    10    0    9    8    10    18    0    22    5    0    11    0    0    15    17    21    16    21    11    0    13    21    0    4    0    13    0    12    0    20    0    0    21    0    5    0    9    0    0    0    24    0    25    
#Delay 2.501000    10    0    6    0    8    6    5    0    6    5    0    13    9    0    6    3    7    17    0    14    2    0    9    0    0    14    8    22    14    17    8    0    8    15    0    4    0    12    0    15    0    16    0    0    17    0    8    0    13    0    0    0    25    0    25    
#Delay 2.644000    4    0    5    0    0    1    1    0    1    2    0    5    3    0    2    0    1    8    0    7    0    0    3    0    0    7    1    14    6    10    2    0    3    11    0    1    0    8    0    8    0    12    0    0    15    0    0    0    7    0    0    0    25    0    25    
#Delay 2.787000    3    0    1    0    1    2    1    0    1    0    0    4    0    0    0    0    1    7    0    7    0    0    3    0    0    3    1    11    6    7    1    0    0    12    0    0    0    1    0    4    0    8    0    0    12    0    0    0    2    0    0    0    25    0    25    
#Delay 2.930000    0    0    0    0    0    0    0    0    0    0    0    2    1    0    0    0    1    1    0    1    0    0    2    0    0    1    0    2    2    4    0    0    2    5    0    0    0    3    0    1    0    3    0    0    6    0    1    0    1    0    0    0    25    0    25    
#Delay 3.073000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    3    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    25    0    25    
#Delay 3.216000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    2    0    0    0    1    0    0    0    0    0    0    0    1    0    0    1    0    0    0    0    0    0    0    20    0    23    
#Delay 3.359000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    24    0    22    
#Delay 3.502000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    17    0    21    
#Delay 3.645000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    13    0    16    
#Delay 3.788000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    5    0    9    
#Delay 3.931000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    4    0    3    
