#PIXEL  #BOARD  #CHANNEL  #MACROCELL L3  #ALL MACROCELLS  #ATTENUATION
54    0.290000    25    
55    0.090000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.120000    0    
2    0.120000    0    
3    0.120000    0    
4    0.120000    0    
5    0.320000    24    
6    0.520000    20    
7    0.120000    0    
8    0.120000    0    
9    0.120000    0    
10    0.320000    25    
11    0.120000    0    
12    0.120000    0    
13    0.320000    25    
14    0.120000    0    
15    0.120000    0    
16    0.320000    21    
17    0.320000    25    
18    0.120000    0    
19    0.120000    0    
20    0.320000    25    
21    0.320000    25    
22    0.120000    0    
23    0.120000    0    
24    0.120000    0    
25    0.120000    0    
26    0.320000    23    
27    0.120000    0    
28    0.120000    0    
29    0.320000    25    
30    0.120000    0    
31    0.120000    0    
32    0.120000    0    
33    0.520000    14    
34    0.320000    25    
35    0.120000    0    
36    0.120000    0    
37    0.120000    0    
38    0.320000    25    
39    0.120000    0    
40    0.320000    25    
41    0.120000    0    
42    0.120000    0    
43    0.120000    0    
44    0.320000    24    
45    0.120000    0    
46    0.120000    0    
47    0.120000    0    
48    0.320000    25    
49    0.120000    0    
50    0.120000    0    
51    0.120000    0    
52    0.320000    24    
53    0.120000    0    
54    0.320000    24    
55    0.120000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.150000    0    
2    0.150000    0    
3    0.150000    0    
4    0.150000    0    
5    0.350000    25    
6    0.550000    20    
7    0.150000    0    
8    0.150000    0    
9    0.150000    0    
10    0.350000    23    
11    0.150000    0    
12    0.150000    0    
13    0.350000    24    
14    0.150000    0    
15    0.150000    0    
16    0.350000    19    
17    0.350000    23    
18    0.150000    0    
19    0.150000    0    
20    0.350000    24    
21    0.350000    24    
22    0.150000    0    
23    0.150000    0    
24    0.150000    0    
25    0.150000    0    
26    0.350000    24    
27    0.150000    0    
28    0.150000    0    
29    0.350000    25    
30    0.150000    0    
31    0.150000    0    
32    0.150000    0    
33    0.550000    13    
34    0.350000    25    
35    0.150000    0    
36    0.150000    0    
37    0.150000    0    
38    0.350000    24    
39    0.150000    0    
40    0.350000    25    
41    0.150000    0    
42    0.150000    0    
43    0.150000    0    
44    0.350000    25    
45    0.150000    0    
46    0.150000    0    
47    0.150000    0    
48    0.350000    25    
49    0.150000    0    
50    0.150000    0    
51    0.150000    0    
52    0.350000    23    
53    0.150000    0    
54    0.350000    24    
55    0.150000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.180000    0    
2    0.180000    0    
3    0.180000    0    
4    0.180000    0    
5    0.380000    21    
6    0.580000    15    
7    0.180000    0    
8    0.180000    0    
9    0.180000    0    
10    0.380000    21    
11    0.180000    0    
12    0.180000    0    
13    0.380000    23    
14    0.180000    0    
15    0.180000    0    
16    0.380000    18    
17    0.380000    22    
18    0.180000    0    
19    0.180000    0    
20    0.380000    25    
21    0.380000    20    
22    0.180000    0    
23    0.180000    0    
24    0.180000    0    
25    0.180000    0    
26    0.380000    21    
27    0.180000    0    
28    0.180000    0    
29    0.380000    25    
30    0.180000    0    
31    0.180000    0    
32    0.180000    0    
33    0.580000    2    
34    0.380000    24    
35    0.180000    0    
36    0.180000    0    
37    0.180000    0    
38    0.380000    24    
39    0.180000    0    
40    0.380000    25    
41    0.180000    0    
42    0.180000    0    
43    0.180000    0    
44    0.380000    25    
45    0.180000    0    
46    0.180000    0    
47    0.180000    0    
48    0.380000    25    
49    0.180000    0    
50    0.180000    0    
51    0.180000    0    
52    0.380000    16    
53    0.180000    0    
54    0.380000    16    
55    0.180000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.210000    0    
2    0.210000    0    
3    0.210000    0    
