#PIXEL  #BOARD  #CHANNEL  #MACROCELL L2  #ALL MACROCELLS  #ATTENUATION
423        2        25        2        2,0,0        11.828500
150        3        25        19        19,20,0        10.754200
571        3        20        4        4,0,0        12.171900
184        5        31        11        10,11,0        11.158600
240        5        16        8        5,8,0        11.894300
67        6        12        22        21,22,0        12.003800
346        6        31        14        13,14,0        12.679200
340        7        13        25        25,26,0        11.995900
27        9        10        24        16,24,0        4.908080
37        10        2        37        34,37,0        11.251300
553        11        16        41        41,0,0        12.884100
309        12        15        32        29,32,0        12.090200
315        12        1        43        40,43,0        10.657600
54        13        22        35        33,35,0        11.573100
162        13        10        46        44,46,0        11.072000
172        14        26        39        38,39,0        11.041300
268        14        20        50        48,50,0        11.810700
469        15        23        51        51,0,0        11.323400
#Delay 0.010000    0    25    0    25    25    0    0    25    0    25    25    0    25    25    0    25    0    0    25    25    25    25    0    25    25    25    0    0    25    0    0    25    25    25    25    0    25    25    25    25    25    0    25    25    0    25    0    25    0    25    25    0    0    0    0    
#Delay 0.260000    0    25    0    25    25    0    0    25    0    25    25    0    25    25    0    25    0    0    25    25    25    25    0    25    25    25    0    0    25    0    0    25    25    25    25    0    25    25    25    25    25    0    25    25    0    25    0    25    0    25    25    0    0    0    0    
#Delay 0.510000    0    25    0    25    25    0    0    25    0    25    25    0    25    25    0    25    0    0    25    25    25    25    0    25    25    25    0    0    25    0    0    25    25    25    25    0    25    25    25    25    25    0    25    25    0    25    0    25    0    25    25    0    0    0    0    
#Delay 0.760000    0    25    0    25    25    0    0    25    0    25    25    0    25    25    0    25    0    0    25    25    25    25    0    25    25    25    0    0    25    0    0    25    25    25    25    0    25    25    25    25    25    0    25    25    0    25    0    25    0    25    25    0    0    0    0    
#Delay 1.010000    0    26    0    20    26    0    0    26    0    26    26    0    26    26    0    26    0    0    26    26    26    26    0    26    26    26    0    0    26    0    0    26    26    26    26    0    26    26    26    26    26    0    26    26    0    26    0    26    0    26    26    0    0    0    0    
#Delay 1.260000    0    25    0    13    25    0    0    25    0    25    25    0    25    25    0    25    0    0    25    25    25    25    0    25    24    25    0    0    25    0    0    25    25    25    25    0    25    25    25    20    25    0    21    25    0    25    0    25    0    25    25    0    0    0    0    
#Delay 1.510000    0    25    0    15    25    0    0    25    0    25    25    0    25    25    0    25    0    0    25    25    25    25    0    25    24    24    0    0    25    0    0    25    25    25    25    0    25    25    24    17    25    0    17    25    0    25    0    25    0    25    23    0    0    0    0    
#Delay 1.760000    0    25    0    3    25    0    0    25    0    25    25    0    25    25    0    25    0    0    24    24    25    25    0    25    12    15    0    0    25    0    0    25    25    25    25    0    25    24    15    8    25    0    8    25    0    25    0    25    0    25    19    0    0    0    0    
#Delay 2.010000    0    25    0    0    25    0    0    25    0    25    25    0    25    25    0    25    0    0    25    25    21    25    0    25    3    7    0    0    25    0    0    25    25    25    25    0    25    18    2    0    24    0    0    24    0    22    0    25    0    25    13    0    0    0    0    
#Delay 2.260000    0    25    0    0    25    0    0    25    0    25    25    0    22    25    0    23    0    0    21    24    18    24    0    23    1    3    0    0    25    0    0    25    25    21    25    0    18    10    1    0    24    0    0    24    0    12    0    21    0    16    5    0    0    0    0    
#Delay 2.510000    0    25    0    0    25    0    0    25    0    23    25    0    15    21    0    20    0    0    8    18    3    16    0    20    0    0    0    0    25    0    0    24    24    15    25    0    9    3    0    0    25    0    0    17    0    7    0    22    0    18    0    0    0    0    0    
#Delay 2.760000    0    24    0    0    25    0    0    25    0    19    25    0    10    20    0    17    0    0    9    14    1    8    0    15    0    0    0    0    24    0    0    18    24    7    24    0    4    0    0    0    20    0    0    11    0    2    0    17    0    9    0    0    0    0    0    
#Delay 3.010000    0    25    0    0    24    0    0    24    0    9    21    0    3    11    0    5    0    0    0    6    0    0    0    5    0    0    0    0    18    0    0    11    23    4    25    0    0    0    0    0    13    0    0    4    0    0    0    8    0    2    0    0    0    0    0    
#Delay 3.260000    0    20    0    0    24    0    0    24    0    1    19    0    0    2    0    2    0    0    0    1    0    0    0    1    0    0    0    0    13    0    0    3    24    0    25    0    0    0    0    0    8    0    0    1    0    0    0    4    0    0    0    0    0    0    0    
