#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
54    0.090000    0    
55    0.090000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.520000    25    
2    0.120000    0    
3    0.320000    25    
4    0.120000    0    
5    0.120000    0    
6    0.120000    0    
7    0.320000    25    
8    0.520000    25    
9    0.320000    25    
10    0.120000    0    
11    0.320000    25    
12    0.320000    25    
13    0.120000    0    
14    0.520000    7    
15    0.320000    22    
16    0.120000    0    
17    0.120000    0    
18    0.320000    23    
19    0.320000    25    
20    0.120000    0    
21    0.120000    0    
22    0.320000    22    
23    0.320000    25    
24    0.320000    25    
25    0.320000    24    
26    0.120000    0    
27    0.320000    24    
28    0.320000    24    
29    0.120000    0    
30    0.120000    25    
31    0.520000    19    
32    0.320000    25    
33    0.120000    0    
34    0.120000    0    
35    0.320000    22    
36    0.320000    24    
37    0.320000    24    
38    0.120000    0    
39    0.520000    12    
40    0.120000    0    
41    0.520000    18    
42    0.320000    25    
43    0.320000    24    
44    0.120000    0    
45    0.320000    25    
46    0.320000    25    
47    0.320000    25    
48    0.120000    0    
49    0.320000    25    
50    0.320000    25    
51    0.320000    25    
52    0.120000    0    
53    0.320000    24    
54    0.120000    0    
55    0.120000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.550000    24    
2    0.150000    0    
3    0.350000    25    
4    0.150000    0    
5    0.150000    0    
6    0.150000    0    
7    0.350000    25    
8    0.550000    24    
9    0.350000    25    
10    0.150000    0    
11    0.350000    25    
12    0.350000    23    
13    0.150000    0    
14    0.550000    5    
15    0.350000    18    
16    0.150000    0    
17    0.150000    0    
18    0.350000    21    
19    0.350000    25    
20    0.150000    0    
21    0.150000    0    
22    0.350000    18    
23    0.350000    25    
24    0.350000    22    
25    0.350000    22    
26    0.150000    0    
27    0.350000    23    
28    0.350000    24    
29    0.150000    0    
30    0.150000    23    
31    0.550000    12    
32    0.350000    25    
33    0.150000    0    
34    0.150000    0    
35    0.350000    23    
36    0.350000    22    
37    0.350000    24    
38    0.150000    0    
39    0.550000    10    
40    0.150000    0    
41    0.550000    10    
42    0.350000    25    
43    0.350000    22    
44    0.150000    0    
45    0.350000    24    
46    0.350000    25    
47    0.350000    21    
48    0.150000    0    
49    0.350000    25    
50    0.350000    24    
51    0.350000    21    
52    0.150000    0    
53    0.350000    23    
54    0.150000    0    
55    0.150000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.580000    24    
2    0.180000    0    
3    0.380000    21    
4    0.180000    0    
5    0.180000    0    
6    0.180000    0    
7    0.380000    22    
8    0.580000    24    
9    0.380000    21    
10    0.180000    0    
11    0.380000    21    
12    0.380000    21    
13    0.180000    0    
14    0.580000    1    
15    0.380000    17    
16    0.180000    0    
17    0.180000    0    
18    0.380000    20    
19    0.380000    21    
20    0.180000    0    
21    0.180000    0    
22    0.380000    16    
23    0.380000    24    
24    0.380000    20    
25    0.380000    21    
26    0.180000    0    
27    0.380000    24    
28    0.380000    25    
29    0.180000    0    
30    0.180000    25    
31    0.580000    6    
32    0.380000    23    
33    0.180000    0    
34    0.180000    0    
35    0.380000    22    
36    0.380000    20    
37    0.380000    22    
38    0.180000    0    
39    0.580000    6    
40    0.180000    0    
41    0.580000    5    
42    0.380000    25    
43    0.380000    20    
44    0.180000    0    
45    0.380000    25    
46    0.380000    25    
47    0.380000    19    
48    0.180000    0    
49    0.380000    20    
50    0.380000    25    
51    0.380000    19    
52    0.180000    0    
53    0.380000    22    
54    0.180000    0    
55    0.180000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.610000    18    
2    0.210000    0    
3    0.410000    22    
4    0.210000    0    
5    0.210000    0    
6    0.210000    0    
7    0.410000    18    
8    0.610000    18    
9    0.410000    20    
10    0.210000    0    
11    0.410000    22    
12    0.410000    15    
13    0.210000    0    
14    0.610000    0    
15    0.410000    14    
16    0.210000    0    
17    0.210000    0    
18    0.410000    15    
19    0.410000    20    
20    0.210000    0    
21    0.210000    0    
22    0.410000    14    
23    0.410000    22    
24    0.410000    14    
25    0.410000    18    
26    0.210000    0    
27    0.410000    21    
28    0.410000    13    
29    0.210000    0    
30    0.210000    24    
31    0.610000    6    
32    0.410000    21    
33    0.210000    0    
34    0.210000    0    
35    0.410000    21    
36    0.410000    18    
37    0.410000    9    
38    0.210000    0    
39    0.610000    1    
40    0.210000    0    
41    0.610000    6    
42    0.410000    23    
43    0.410000    17    
44    0.210000    0    
45    0.410000    17    
46    0.410000    23    
47    0.410000    15    
48    0.210000    0    
49    0.410000    14    
50    0.410000    17    
51    0.410000    10    
52    0.210000    0    
53    0.410000    20    
54    0.210000    0    
55    0.210000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.640000    17    
2    0.240000    0    
3    0.440000    16    
4    0.240000    0    
5    0.240000    0    
6    0.240000    0    
7    0.440000    17    
8    0.640000    17    
9    0.440000    19    
10    0.240000    0    
11    0.440000    15    
12    0.440000    10    
13    0.240000    0    
14    0.640000    0    
15    0.440000    11    
16    0.240000    0    
17    0.240000    0    
18    0.440000    6    
19    0.440000    19    
20    0.240000    0    
21    0.240000    0    
22    0.440000    7    
23    0.440000    20    
24    0.440000    10    
25    0.440000    8    
26    0.240000    0    
27    0.440000    18    
28    0.440000    12    
29    0.240000    0    
30    0.240000    24    
31    0.640000    4    
32    0.440000    18    
33    0.240000    0    
34    0.240000    0    
35    0.440000    17    
36    0.440000    11    
37    0.440000    9    
38    0.240000    0    
39    0.640000    3    
40    0.240000    0    
41    0.640000    3    
42    0.440000    23    
43    0.440000    11    
44    0.240000    0    
45    0.440000    13    
46    0.440000    22    
47    0.440000    10    
48    0.240000    0    
49    0.440000    9    
50    0.440000    13    
51    0.440000    9    
52    0.240000    0    
53    0.440000    14    
54    0.240000    0    
55    0.240000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.670000    10    
2    0.270000    0    
3    0.470000    14    
4    0.270000    0    
5    0.270000    0    
6    0.270000    0    
7    0.470000    7    
8    0.670000    10    
9    0.470000    10    
10    0.270000    0    
11    0.470000    13    
12    0.470000    5    
13    0.270000    0    
14    0.670000    0    
15    0.470000    11    
16    0.270000    0    
17    0.270000    0    
18    0.470000    5    
19    0.470000    10    
20    0.270000    0    
21    0.270000    0    
22    0.470000    11    
23    0.470000    12    
24    0.470000    4    
25    0.470000    5    
26    0.270000    0    
27    0.470000    15    
28    0.470000    5    
29    0.270000    0    
30    0.270000    25    
31    0.670000    2    
32    0.470000    12    
33    0.270000    0    
34    0.270000    0    
35    0.470000    11    
36    0.470000    4    
37    0.470000    3    
38    0.270000    0    
39    0.670000    0    
40    0.270000    0    
41    0.670000    1    
42    0.470000    20    
43    0.470000    4    
44    0.270000    0    
45    0.470000    3    
46    0.470000    20    
47    0.470000    6    
48    0.270000    0    
49    0.470000    3    
50    0.470000    4    
51    0.470000    2    
52    0.270000    0    
53    0.470000    9    
54    0.270000    0    
55    0.270000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.700000    12    
2    0.300000    0    
3    0.500000    7    
4    0.300000    0    
5    0.300000    0    
6    0.300000    0    
7    0.500000    8    
8    0.700000    14    
9    0.500000    6    
10    0.300000    0    
11    0.500000    6    
12    0.500000    3    
13    0.300000    0    
14    0.700000    0    
15    0.500000    6    
16    0.300000    0    
17    0.300000    0    
18    0.500000    3    
19    0.500000    6    
20    0.300000    0    
21    0.300000    0    
22    0.500000    4    
23    0.500000    9    
24    0.500000    1    
25    0.500000    4    
26    0.300000    0    
27    0.500000    11    
28    0.500000    3    
29    0.300000    0    
30    0.300000    25    
31    0.700000    3    
32    0.500000    8    
33    0.300000    0    
34    0.300000    0    
35    0.500000    8    
36    0.500000    2    
37    0.500000    2    
38    0.300000    0    
39    0.700000    1    
40    0.300000    0    
41    0.700000    3    
42    0.500000    13    
43    0.500000    2    
44    0.300000    0    
45    0.500000    5    
46    0.500000    11    
47    0.500000    1    
48    0.300000    0    
49    0.500000    3    
50    0.500000    5    
51    0.500000    1    
52    0.300000    0    
53    0.500000    3    
54    0.300000    0    
55    0.300000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.730000    5    
2    0.330000    0    
3    0.530000    5    
4    0.330000    0    
5    0.330000    0    
6    0.330000    0    
7    0.530000    2    
8    0.730000    5    
9    0.530000    5    
10    0.330000    0    
11    0.530000    3    
12    0.530000    0    
13    0.330000    0    
14    0.730000    0    
15    0.530000    7    
16    0.330000    0    
17    0.330000    0    
18    0.530000    3    
19    0.530000    5    
20    0.330000    0    
21    0.330000    0    
22    0.530000    3    
23    0.530000    4    
24    0.530000    0    
25    0.530000    3    
26    0.330000    0    
27    0.530000    5    
28    0.530000    5    
29    0.330000    0    
30    0.330000    25    
31    0.730000    0    
32    0.530000    4    
33    0.330000    0    
34    0.330000    0    
35    0.530000    4    
36    0.530000    3    
37    0.530000    2    
38    0.330000    0    
39    0.730000    0    
40    0.330000    0    
41    0.730000    0    
42    0.530000    10    
43    0.530000    2    
44    0.330000    0    
45    0.530000    2    
46    0.530000    10    
47    0.530000    0    
48    0.330000    0    
49    0.530000    1    
50    0.530000    2    
51    0.530000    0    
52    0.330000    0    
53    0.530000    3    
54    0.330000    0    
55    0.330000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.760000    6    
2    0.360000    0    
3    0.560000    0    
4    0.360000    0    
5    0.360000    0    
6    0.360000    0    
7    0.560000    1    
8    0.760000    6    
9    0.560000    0    
10    0.360000    0    
11    0.560000    0    
12    0.560000    0    
13    0.360000    0    
14    0.760000    0    
15    0.560000    3    
16    0.360000    0    
17    0.360000    0    
18    0.560000    0    
19    0.560000    0    
20    0.360000    0    
21    0.360000    0    
22    0.560000    2    
23    0.560000    3    
24    0.560000    0    
25    0.560000    0    
26    0.360000    0    
27    0.560000    3    
28    0.560000    0    
29    0.360000    0    
30    0.360000    25    
31    0.760000    0    
32    0.560000    2    
33    0.360000    0    
34    0.360000    0    
35    0.560000    0    
36    0.560000    0    
37    0.560000    0    
38    0.360000    0    
39    0.760000    0    
40    0.360000    0    
41    0.760000    0    
42    0.560000    12    
43    0.560000    0    
44    0.360000    0    
45    0.560000    0    
46    0.560000    11    
47    0.560000    0    
48    0.360000    0    
49    0.560000    0    
50    0.560000    0    
51    0.560000    0    
52    0.360000    0    
53    0.560000    0    
54    0.360000    0    
55    0.360000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.790000    3    
2    0.390000    0    
3    0.590000    2    
4    0.390000    0    
5    0.390000    0    
6    0.390000    0    
7    0.590000    1    
8    0.790000    4    
9    0.590000    2    
10    0.390000    0    
11    0.590000    2    
12    0.590000    0    
13    0.390000    0    
14    0.790000    0    
15    0.590000    2    
16    0.390000    0    
17    0.390000    0    
18    0.590000    0    
19    0.590000    2    
20    0.390000    0    
21    0.390000    0    
22    0.590000    1    
23    0.590000    1    
24    0.590000    0    
25    0.590000    0    
26    0.390000    0    
27    0.590000    1    
28    0.590000    1    
29    0.390000    0    
30    0.390000    25    
31    0.790000    0    
32    0.590000    1    
33    0.390000    0    
34    0.390000    0    
35    0.590000    1    
36    0.590000    0    
37    0.590000    1    
38    0.390000    0    
39    0.790000    0    
40    0.390000    0    
41    0.790000    0    
42    0.590000    4    
43    0.590000    0    
44    0.390000    0    
45    0.590000    0    
46    0.590000    3    
47    0.590000    0    
48    0.390000    0    
49    0.590000    0    
50    0.590000    0    
51    0.590000    0    
52    0.390000    0    
53    0.590000    0    
54    0.390000    0    
55    0.390000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.820000    1    
2    0.420000    0    
3    0.620000    1    
4    0.420000    0    
5    0.420000    0    
6    0.420000    0    
7    0.620000    1    
8    0.820000    1    
9    0.620000    0    
10    0.420000    0    
11    0.620000    1    
12    0.620000    0    
13    0.420000    0    
14    0.820000    0    
15    0.620000    2    
16    0.420000    0    
17    0.420000    0    
18    0.620000    0    
19    0.620000    0    
20    0.420000    0    
21    0.420000    0    
22    0.620000    1    
23    0.620000    0    
24    0.620000    0    
25    0.620000    0    
26    0.420000    0    
27    0.620000    0    
28    0.620000    0    
29    0.420000    0    
30    0.420000    24    
31    0.820000    0    
32    0.620000    0    
33    0.420000    0    
34    0.420000    0    
35    0.620000    0    
36    0.620000    0    
37    0.620000    0    
38    0.420000    0    
39    0.820000    0    
40    0.420000    0    
41    0.820000    0    
42    0.620000    1    
43    0.620000    0    
44    0.420000    0    
45    0.620000    0    
46    0.620000    1    
47    0.620000    0    
48    0.420000    0    
49    0.620000    0    
50    0.620000    0    
51    0.620000    0    
52    0.420000    0    
53    0.620000    0    
54    0.420000    0    
55    0.420000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.850000    0    
2    0.450000    0    
3    0.650000    0    
4    0.450000    0    
5    0.450000    0    
6    0.450000    0    
7    0.650000    0    
8    0.850000    0    
9    0.650000    0    
10    0.450000    0    
11    0.650000    0    
12    0.650000    0    
13    0.450000    0    
14    0.850000    0    
15    0.650000    0    
16    0.450000    0    
17    0.450000    0    
18    0.650000    0    
19    0.650000    0    
20    0.450000    0    
