#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
32    0.290000    0    
33    0.690000    25    
34    0.690000    25    
35    0.290000    0    
36    0.690000    25    
37    0.290000    0    
38    0.690000    25    
39    0.290000    0    
40    0.690000    25    
41    0.290000    0    
42    0.690000    25    
43    0.290000    0    
44    0.690000    25    
45    0.690000    25    
46    0.290000    0    
47    0.690000    25    
48    0.890000    24    
49    0.690000    25    
50    0.290000    0    
51    0.290000    0    
52    0.290000    0    
53    0.690000    25    
54    0.290000    0    
55    0.890000    24    

#Macrocel    #Threshold    #Rate[Hz]
1    0.520000    24    
2    0.320000    0    
3    0.720000    25    
4    0.320000    0    
5    0.720000    25    
6    0.720000    24    
7    0.720000    22    
8    0.320000    0    
9    0.720000    23    
10    0.720000    25    
11    0.320000    0    
12    0.720000    25    
13    0.720000    25    
14    0.320000    0    
15    0.720000    25    
16    0.920000    17    
17    0.720000    25    
18    0.720000    25    
19    0.320000    0    
20    0.720000    24    
21    0.720000    13    
22    0.320000    0    
23    0.720000    25    
24    0.320000    0    
25    0.320000    0    
26    0.320000    0    
27    0.720000    24    
28    0.920000    17    
29    0.720000    25    
30    0.720000    13    
31    0.320000    0    
32    0.320000    0    
33    0.720000    25    
34    0.720000    22    
35    0.320000    0    
36    0.720000    25    
37    0.320000    0    
38    0.720000    24    
39    0.320000    0    
40    0.720000    25    
41    0.320000    0    
42    0.720000    24    
43    0.320000    0    
44    0.720000    24    
45    0.720000    22    
46    0.320000    0    
47    0.720000    24    
48    0.920000    22    
49    0.720000    25    
50    0.320000    0    
51    0.320000    0    
52    0.320000    0    
53    0.720000    24    
54    0.320000    0    
55    0.920000    22    

#Macrocel    #Threshold    #Rate[Hz]
1    0.550000    25    
2    0.350000    0    
3    0.750000    25    
4    0.350000    0    
5    0.750000    25    
6    0.750000    22    
7    0.750000    21    
8    0.350000    0    
9    0.750000    22    
10    0.750000    25    
11    0.350000    0    
12    0.750000    25    
13    0.750000    23    
14    0.350000    0    
15    0.750000    25    
16    0.950000    18    
17    0.750000    23    
18    0.750000    23    
19    0.350000    0    
20    0.750000    25    
21    0.750000    15    
22    0.350000    0    
23    0.750000    23    
24    0.350000    0    
25    0.350000    0    
26    0.350000    0    
27    0.750000    25    
28    0.950000    17    
29    0.750000    25    
30    0.750000    17    
31    0.350000    0    
32    0.350000    0    
33    0.750000    24    
34    0.750000    24    
35    0.350000    0    
36    0.750000    25    
37    0.350000    0    
38    0.750000    21    
39    0.350000    0    
40    0.750000    25    
41    0.350000    0    
42    0.750000    24    
43    0.350000    0    
44    0.750000    24    
45    0.750000    24    
46    0.350000    0    
47    0.750000    20    
48    0.950000    16    
49    0.750000    24    
50    0.350000    0    
51    0.350000    0    
52    0.350000    0    
53    0.750000    24    
54    0.350000    0    
55    0.950000    16    

#Macrocel    #Threshold    #Rate[Hz]
1    0.580000    25    
2    0.380000    0    
3    0.780000    24    
4    0.380000    0    
5    0.780000    24    
6    0.780000    20    
7    0.780000    18    
8    0.380000    0    
9    0.780000    19    
10    0.780000    24    
11    0.380000    0    
12    0.780000    24    
13    0.780000    22    
14    0.380000    0    
15    0.780000    24    
16    0.980000    16    
17    0.780000    23    
18    0.780000    22    
19    0.380000    0    
20    0.780000    24    
21    0.780000    10    
22    0.380000    0    
23    0.780000    24    
24    0.380000    0    
25    0.380000    0    
26    0.380000    0    
27    0.780000    24    
28    0.980000    15    
29    0.780000    25    
30    0.780000    11    
31    0.380000    0    
32    0.380000    0    
33    0.780000    25    
34    0.780000    22    
35    0.380000    0    
36    0.780000    25    
37    0.380000    0    
38    0.780000    21    
39    0.380000    0    
40    0.780000    25    
41    0.380000    0    
42    0.780000    24    
43    0.380000    0    
44    0.780000    25    
45    0.780000    22    
46    0.380000    0    
47    0.780000    21    
48    0.980000    19    
49    0.780000    25    
50    0.380000    0    
51    0.380000    0    
52    0.380000    0    
53    0.780000    25    
54    0.380000    0    
55    0.980000    19    

#Macrocel    #Threshold    #Rate[Hz]
1    0.610000    23    
2    0.410000    0    
3    0.810000    24    
4    0.410000    0    
5    0.810000    24    
6    0.810000    22    
7    0.810000    21    
8    0.410000    0    
9    0.810000    20    
10    0.810000    25    
11    0.410000    0    
12    0.810000    24    
13    0.810000    23    
14    0.410000    0    
15    0.810000    25    
16    1.010000    13    
17    0.810000    23    
18    0.810000    23    
19    0.410000    0    
20    0.810000    25    
21    0.810000    7    
22    0.410000    0    
23    0.810000    23    
24    0.410000    0    
25    0.410000    0    
26    0.410000    0    
27    0.810000    25    
28    1.010000    11    
29    0.810000    25    
30    0.810000    8    
31    0.410000    0    
32    0.410000    0    
33    0.810000    21    
34    0.810000    24    
35    0.410000    0    
36    0.810000    24    
37    0.410000    0    
38    0.810000    18    
39    0.410000    0    
40    0.810000    23    
41    0.410000    0    
42    0.810000    21    
43    0.410000    0    
44    0.810000    22    
45    0.810000    24    
46    0.410000    0    
47    0.810000    17    
48    1.010000    16    
49    0.810000    23    
50    0.410000    0    
51    0.410000    0    
52    0.410000    0    
53    0.810000    22    
54    0.410000    0    
55    1.010000    16    

#Macrocel    #Threshold    #Rate[Hz]
1    0.640000    21    
2    0.440000    0    
3    0.840000    23    
4    0.440000    0    
5    0.840000    22    
6    0.840000    15    
7    0.840000    20    
8    0.440000    0    
9    0.840000    15    
10    0.840000    25    
11    0.440000    0    
12    0.840000    22    
13    0.840000    21    
14    0.440000    0    
15    0.840000    25    
16    1.040000    10    
17    0.840000    20    
18    0.840000    21    
19    0.440000    0    
20    0.840000    25    
21    0.840000    6    
22    0.440000    0    
23    0.840000    20    
24    0.440000    0    
25    0.440000    0    
26    0.440000    0    
27    0.840000    24    
