#Macrocell     #Rates [Hz]
4          0.159305
5          0.163247
6          0.179660
7          0.188724
8          0.190892
9          0.217722
10          0.177387
11          0.168330
12          0.169972
13          0.158634
14          0.194830
15          0.170873
16          0.174091
17          0.163316
18          0.178752
19          0.235795
20          0.201512
21          0.179432
22          0.171332
23          0.193139
24          0.178148
25          0.178260
26          0.160429
27          0.183332
28          0.177649
29          0.203621
30          0.177701
31          0.184615
32          0.156817
33          0.223368
34          0.171821
35          0.241458
36          0.216814
37          0.173924
38          0.178742
39          0.174226
40          0.224716
41          0.164017
42          0.176963
43          0.182237
44          0.179510
45          0.174516
46          0.171438
47          0.177495
48          0.178918
49          0.210129
50          0.192133
51          0.153413
52          0.173308
53          0.170881
54          0.148898
55          0.175621
#Macrocell     #Rates [Hz]
1          2824.000000
2          2824.000000
3          35655.000000
4          13219.000000
5          49205.000000
6          39085.000000
7          3539.000000
8          59907.000000
9          5418.000000
10          7903.000000
11          41827.000000
12          42153.000000
13          40957.000000
14          0.000000
15          29639.000000
16          67287.000000
17          44951.000000
18          68710.000000
19          24500.000000
20          6077.000000
21          15247.000000
22          47135.000000
23          58611.000000
24          0.000000
25          62200.000000
26          38302.000000
27          37142.000000
28          24289.000000
29          59306.000000
30          19416.000000
31          66462.000000
32          72706.000000
33          47970.000000
34          38280.000000
35          54484.000000
36          35021.000000
37          24172.000000
38          49317.000000
39          42428.000000
40          47619.000000
41          6833.000000
42          83655.000000
43          2147483648.000000
44          17009.000000
45          53366.000000
46          59687.000000
47          43800.000000
48          66598.000000
49          62260.000000
50          9484.000000
51          20110.000000
52          44008.000000
53          17652.000000
54          32051.000000
55          62260.000000
Total rate:          1969696
#Macrocell     #Threshold [V]
1          0.214320
2          0.168516
3          0.242883
4          0.189334
5          0.194019
6          0.213526
7          0.224299
8          0.226876
9          0.258764
10          0.210824
11          0.200060
12          0.202013
13          0.188537
14          0.231556
15          0.203083
16          0.206907
17          0.194101
18          0.212448
19          0.280242
20          0.239498
21          0.213256
22          0.203629
23          0.229546
24          0.211730
25          0.211862
26          0.190670
27          0.217891
28          0.211137
29          0.242004
30          0.211198
31          0.219415
32          0.186377
33          0.265473
34          0.204209
35          0.286974
36          0.257684
37          0.206709
38          0.212435
39          0.207068
40          0.267076
41          0.194935
42          0.210321
43          0.216589
44          0.213348
45          0.207413
46          0.203755
47          0.210954
48          0.212645
49          0.249738
50          0.228351
51          0.182332
52          0.205977
53          0.203093
54          0.176966
55          0.208726
#Macrocell     #Rates [Hz]
1          381.000000
2          381.000000
3          5013.000000
4          2385.000000
5          7711.000000
6          5540.000000
7          388.000000
8          7213.000000
9          524.000000
10          1154.000000
11          5239.000000
12          5333.000000
13          5430.000000
14          8260.000000
15          3498.000000
16          8817.000000
17          5608.000000
18          10226.000000
19          2837.000000
20          1550.000000
21          1444.000000
22          5801.000000
23          7869.000000
24          6714.000000
25          7472.000000
26          4301.000000
27          4800.000000
28          2843.000000
29          7453.000000
30          1903.000000
31          8534.000000
32          9035.000000
33          7060.000000
34          8628.000000
35          6827.000000
36          6028.000000
37          2251.000000
38          5904.000000
39          5705.000000
40          5751.000000
41          1290.000000
42          11919.000000
43          7432.000000
44          1852.000000
45          6879.000000
46          8028.000000
47          5664.000000
48          8962.000000
49          7139.000000
50          986.000000
51          2832.000000
52          6183.000000
53          2124.000000
54          4032.000000
55          8854.000000
Total rate:          263157
#Macrocell     #Threshold [V]
1          0.254720
2          0.200282
3          0.288667
4          0.225024
5          0.230592
6          0.253776
7          0.266580
8          0.269642
9          0.307541
10          0.250565
11          0.237772
12          0.240092
13          0.224077
14          0.275205
15          0.241365
16          0.245910
17          0.230689
18          0.252495
19          0.333069
20          0.284644
21          0.253455
22          0.242013
23          0.272816
24          0.251641
25          0.251798
26          0.226612
27          0.258964
28          0.250937
29          0.287622
30          0.251009
31          0.260775
32          0.221509
33          0.315516
34          0.242703
35          0.341069
36          0.306258
37          0.245674
38          0.252479
39          0.246101
40          0.317420
41          0.231681
42          0.249967
43          0.257417
44          0.253565
45          0.246510
46          0.242163
47          0.250719
48          0.252729
49          0.296815
50          0.271395
51          0.216702
52          0.244804
53          0.241377
54          0.210324
55          0.248072
#Macrocell     #Rates [Hz]
1          127.000000
2          127.000000
3          546.000000
4          558.000000
5          944.000000
6          648.000000
7          120.000000
8          641.000000
9          142.000000
10          224.000000
11          437.000000
12          486.000000
13          523.000000
14          788.000000
15          467.000000
16          742.000000
17          517.000000
18          1008.000000
19          307.000000
20          378.000000
21          192.000000
22          488.000000
23          655.000000
24          575.000000
25          638.000000
26          401.000000
27          466.000000
28          301.000000
29          625.000000
30          242.000000
31          702.000000
32          760.000000
33          708.000000
34          1087.000000
35          560.000000
36          819.000000
37          236.000000
38          521.000000
39          544.000000
40          500.000000
41          284.000000
42          1177.000000
43          658.000000
44          217.000000
45          553.000000
46          693.000000
47          606.000000
48          766.000000
49          574.000000
50          184.000000
51          496.000000
52          632.000000
53          260.000000
54          451.000000
55          878.000000
Total rate:          22483
#Macrocell     #Rates [Hz]
1          125.000000
2          125.000000
3          545.000000
4          533.000000
5          939.000000
6          659.000000
7          123.000000
8          647.000000
9          137.000000
10          214.000000
11          439.000000
12          505.000000
13          505.000000
14          781.000000
15          428.000000
16          789.000000
17          487.000000
18          1034.000000
19          301.000000
20          372.000000
21          189.000000
22          493.000000
23          654.000000
24          565.000000
25          600.000000
26          403.000000
27          448.000000
28          304.000000
29          648.000000
30          231.000000
31          691.000000
32          758.000000
33          705.000000
34          1101.000000
35          595.000000
36          817.000000
37          222.000000
38          513.000000
39          554.000000
40          488.000000
41          291.000000
42          1167.000000
43          659.000000
44          202.000000
45          533.000000
46          651.000000
47          569.000000
48          793.000000
49          559.000000
50          164.000000
51          472.000000
52          634.000000
53          265.000000
54          432.000000
55          877.000000
Total rate:          22903
#Macrocell     #Threshold [V]
1          0.302735
2          0.238035
3          0.343081
4          0.267441
5          0.274060
6          0.301613
7          0.316830
8          0.320471
9          0.365513
10          0.297797
11          0.282593
12          0.285350
13          0.266316
14          0.327082
15          0.286863
16          0.292264
17          0.274175
18          0.300090
19          0.395853
20          0.338300
21          0.301232
22          0.287633
23          0.324242
24          0.299076
25          0.299263
26          0.269329
27          0.307779
28          0.298239
29          0.341840
30          0.298325
31          0.309932
32          0.263264
33          0.374991
34          0.288453
35          0.405361
36          0.363989
37          0.291985
38          0.300072
39          0.292492
40          0.377255
41          0.275353
42          0.297087
43          0.305940
44          0.301362
45          0.292978
46          0.287811
47          0.297980
48          0.300369
49          0.352765
50          0.322554
51          0.257551
52          0.290950
53          0.286877
54          0.249971
55          0.294834
#Macrocell     #Rates [Hz]
1          105.000000
2          105.000000
3          110.000000
4          121.000000
5          137.000000
6          126.000000
7          94.000000
8          123.000000
9          106.000000
10          113.000000
11          117.000000
12          115.000000
13          107.000000
14          124.000000
15          119.000000
16          122.000000
17          111.000000
18          148.000000
19          110.000000
20          108.000000
21          114.000000
22          105.000000
23          118.000000
24          111.000000
25          122.000000
26          110.000000
27          97.000000
28          117.000000
29          121.000000
30          108.000000
31          126.000000
32          117.000000
33          107.000000
34          117.000000
35          110.000000
36          109.000000
37          110.000000
38          115.000000
39          113.000000
40          113.000000
41          112.000000
42          151.000000
43          125.000000
44          113.000000
45          120.000000
46          115.000000
47          131.000000
48          124.000000
49          109.000000
50          117.000000
51          136.000000
52          110.000000
53          107.000000
54          127.000000
55          124.000000
Total rate:          2229
#Macrocell     #Threshold [V]
1          0.359801
2          0.282905
3          0.407752
4          0.317854
5          0.325720
6          0.358468
7          0.376554
8          0.380880
9          0.434413
10          0.353933
11          0.335862
12          0.339139
13          0.316517
14          0.388738
15          0.340937
16          0.347357
17          0.325857
18          0.356658
19          0.470472
20          0.402070
21          0.358015
22          0.341853
23          0.385362
24          0.355453
25          0.355675
26          0.320098
27          0.365796
28          0.354457
29          0.406277
30          0.354559
31          0.368354
32          0.312890
33          0.445678
34          0.342828
35          0.481773
36          0.432602
37          0.347024
38          0.356636
39          0.347627
40          0.448368
41          0.327257
42          0.353088
43          0.363611
44          0.358170
45          0.348205
46          0.342064
47          0.354150
48          0.356989
49          0.419262
50          0.383356
51          0.306100
52          0.345795
53          0.340953
54          0.297091
55          0.350411
#Macrocell     #Rates [Hz]
1          87.000000
2          87.000000
3          67.000000
4          70.000000
5          76.000000
6          78.000000
7          81.000000
8          79.000000
9          93.000000
10          86.000000
11          85.000000
12          78.000000
13          76.000000
14          73.000000
15          77.000000
16          80.000000
17          80.000000
18          68.000000
19          85.000000
20          72.000000
21          89.000000
22          79.000000
23          79.000000
24          79.000000
25          83.000000
26          83.000000
27          70.000000
28          85.000000
29          85.000000
30          92.000000
31          81.000000
32          79.000000
33          72.000000
34          68.000000
35          81.000000
36          64.000000
37          89.000000
38          77.000000
39          83.000000
40          78.000000
41          78.000000
42          74.000000
43          82.000000
44          82.000000
45          81.000000
46          77.000000
47          77.000000
48          85.000000
49          79.000000
50          93.000000
51          74.000000
52          76.000000
53          86.000000
54          82.000000
55          69.000000
Total rate:          1028
#Macrocell     #Threshold [V]
1          0.427624
2          0.336234
3          0.484615
4          0.377771
5          0.387119
6          0.426040
7          0.447535
8          0.452677
9          0.516301
10          0.420650
11          0.399173
12          0.403068
13          0.376182
14          0.462015
15          0.405205
16          0.412834
17          0.387282
18          0.423889
19          0.559157
20          0.477861
21          0.425501
22          0.406293
23          0.458004
24          0.422457
25          0.422720
26          0.380437
27          0.434750
28          0.421273
29          0.482861
30          0.421395
31          0.437790
32          0.371871
33          0.529689
34          0.407451
35          0.572588
36          0.514148
37          0.412439
38          0.423863
39          0.413155
40          0.532887
41          0.388946
42          0.419646
43          0.432152
44          0.425685
45          0.413843
46          0.406544
47          0.420908
48          0.424282
49          0.498294
50          0.455619
51          0.363800
52          0.410978
53          0.405224
54          0.353093
55          0.416464
#Macrocell     #Rates [Hz]
1          78.000000
2          78.000000
3          56.000000
4          57.000000
5          56.000000
6          65.000000
7          71.000000
8          63.000000
9          81.000000
10          78.000000
11          63.000000
12          60.000000
13          64.000000
14          64.000000
15          61.000000
16          62.000000
17          63.000000
18          65.000000
19          68.000000
20          54.000000
21          67.000000
22          69.000000
23          68.000000
24          62.000000
25          68.000000
26          75.000000
27          64.000000
28          66.000000
29          70.000000
30          73.000000
31          74.000000
32          66.000000
33          59.000000
34          57.000000
35          69.000000
36          51.000000
37          69.000000
38          67.000000
39          67.000000
40          68.000000
41          61.000000
42          60.000000
43          68.000000
44          59.000000
45          70.000000
46          67.000000
47          64.000000
48          69.000000
49          71.000000
50          81.000000
51          62.000000
52          58.000000
53          63.000000
54          61.000000
55          59.000000
Total rate:          777
#Macrocell     #Threshold [V]
1          0.508232
2          0.399614
3          0.575966
4          0.448981
5          0.460092
6          0.506349
7          0.531896
8          0.538007
9          0.613625
10          0.499943
11          0.474418
12          0.479047
13          0.447093
14          0.549106
15          0.481587
16          0.490654
17          0.460286
18          0.503793
19          0.664559
20          0.567939
21          0.505709
22          0.482880
23          0.544339
24          0.502091
25          0.502404
26          0.452151
27          0.516701
28          0.500684
29          0.573882
30          0.500828
31          0.520315
32          0.441969
33          0.629536
34          0.484257
35          0.680522
36          0.611066
37          0.490185
38          0.503762
39          0.491036
40          0.633337
41          0.462263
42          0.498750
43          0.513614
44          0.505928
45          0.491853
46          0.483178
47          0.500250
48          0.504261
49          0.592223
50          0.541504
51          0.432377
52          0.488448
53          0.481610
54          0.419652
55          0.494968
#Macrocell     #Rates [Hz]
1          60.000000
2          60.000000
3          50.000000
4          51.000000
5          54.000000
6          58.000000
7          65.000000
8          51.000000
9          63.000000
10          69.000000
11          62.000000
12          56.000000
13          57.000000
14          47.000000
15          53.000000
16          56.000000
17          55.000000
18          56.000000
19          51.000000
20          48.000000
21          52.000000
22          57.000000
23          59.000000
24          54.000000
25          55.000000
26          59.000000
27          46.000000
28          51.000000
29          58.000000
30          60.000000
31          62.000000
32          57.000000
33          50.000000
34          45.000000
35          60.000000
36          44.000000
37          52.000000
38          55.000000
39          59.000000
40          57.000000
41          45.000000
42          54.000000
43          57.000000
44          44.000000
45          53.000000
46          53.000000
47          47.000000
48          58.000000
49          55.000000
50          68.000000
51          50.000000
52          52.000000
53          44.000000
54          49.000000
55          46.000000
Total rate:          588
#Macrocell     #Rates [Hz]
1          62.000000
2          62.000000
3          52.000000
4          47.000000
5          53.000000
6          54.000000
7          66.000000
8          53.000000
9          61.000000
10          67.000000
11          56.000000
12          54.000000
13          55.000000
14          56.000000
15          56.000000
16          55.000000
17          59.000000
18          56.000000
19          56.000000
20          45.000000
21          53.000000
22          58.000000
23          55.000000
24          53.000000
25          57.000000
26          54.000000
27          50.000000
28          55.000000
29          59.000000
30          61.000000
31          51.000000
32          53.000000
33          55.000000
34          49.000000
35          56.000000
36          39.000000
37          50.000000
38          60.000000
39          49.000000
40          56.000000
41          42.000000
42          47.000000
43          57.000000
44          48.000000
45          54.000000
46          57.000000
47          53.000000
48          52.000000
49          61.000000
50          68.000000
51          51.000000
52          50.000000
53          48.000000
54          52.000000
55          46.000000
Total rate:          572
#Macrocell     #Threshold [V]
1          0.604035
2          0.474943
3          0.684537
4          0.533615
5          0.546821
6          0.601797
7          0.632160
8          0.639423
9          0.729295
10          0.594184
11          0.563847
12          0.569349
13          0.531371
14          0.652614
15          0.572367
16          0.583144
17          0.547051
18          0.598759
19          0.789830
20          0.674997
21          0.601036
22          0.573904
23          0.646948
24          0.596736
25          0.597108
26          0.537382
27          0.614100
28          0.595064
29          0.682060
30          0.595236
31          0.618395
32          0.525281
33          0.748205
34          0.575540
35          0.808802
36          0.726253
37          0.582586
38          0.598722
39          0.583597
40          0.752722
41          0.549401
42          0.592766
43          0.610431
44          0.601297
45          0.584568
46          0.574258
47          0.594548
48          0.599315
49          0.703858
50          0.643579
51          0.513881
52          0.580522
53          0.572394
54          0.498757
55          0.588271
#Macrocell     #Rates [Hz]
1          46.000000
2          46.000000
3          45.000000
4          41.000000
5          42.000000
6          53.000000
7          50.000000
8          44.000000
9          49.000000
10          48.000000
11          46.000000
12          52.000000
13          47.000000
14          43.000000
15          43.000000
16          46.000000
17          48.000000
18          44.000000
19          45.000000
20          36.000000
21          44.000000
22          45.000000
23          55.000000
24          43.000000
25          47.000000
26          41.000000
27          41.000000
28          40.000000
29          43.000000
30          40.000000
31          47.000000
32          45.000000
33          39.000000
34          36.000000
35          46.000000
36          31.000000
37          36.000000
38          44.000000
39          44.000000
40          44.000000
41          34.000000
42          42.000000
43          44.000000
44          38.000000
45          42.000000
46          44.000000
47          43.000000
48          42.000000
49          44.000000
50          47.000000
51          44.000000
52          40.000000
53          41.000000
54          42.000000
55          41.000000
Total rate:          429
#Macrocell     #Threshold [V]
1          0.717897
2          0.564470
3          0.813573
4          0.634203
5          0.649898
6          0.715237
7          0.751323
8          0.759955
9          0.866768
10          0.706189
11          0.670133
12          0.676672
13          0.631535
14          0.775633
15          0.680259
16          0.693068
17          0.650171
18          0.711626
19          0.938715
20          0.802235
21          0.714333
22          0.682086
23          0.768899
24          0.709222
25          0.709664
26          0.638680
27          0.729859
28          0.707235
29          0.810630
30          0.707439
31          0.734964
32          0.624298
33          0.889244
34          0.684031
35          0.961263
36          0.863154
37          0.692405
38          0.711583
39          0.693607
40          0.894612
41          0.652965
42          0.704504
43          0.725498
44          0.714642
45          0.694761
46          0.682507
47          0.706622
48          0.712287
49          0.836537
50          0.764895
51          0.610749
52          0.689951
53          0.680292
54          0.592774
55          0.699161
#Macrocell     #Rates [Hz]
1          37.000000
2          37.000000
3          33.000000
4          34.000000
5          35.000000
6          40.000000
7          33.000000
8          37.000000
9          35.000000
10          35.000000
11          37.000000
12          37.000000
13          39.000000
14          39.000000
15          37.000000
16          38.000000
17          37.000000
18          41.000000
19          38.000000
20          31.000000
21          38.000000
22          37.000000
23          35.000000
24          40.000000
25          38.000000
26          38.000000
27          34.000000
28          36.000000
29          37.000000
30          33.000000
31          40.000000
32          41.000000
33          33.000000
34          33.000000
35          38.000000
36          31.000000
37          37.000000
38          38.000000
39          39.000000
40          38.000000
41          33.000000
42          34.000000
43          38.000000
44          35.000000
45          40.000000
46          42.000000
47          39.000000
48          42.000000
49          38.000000
50          38.000000
51          36.000000
52          37.000000
53          35.000000
54          37.000000
55          36.000000
Total rate:          281
#Macrocell     #Threshold [V]
1          0.853223
2          0.670874
3          0.966934
4          0.753752
5          0.772405
6          0.850061
7          0.892949
8          0.903209
9          1.030156
10          0.839307
11          0.796455
12          0.804227
13          0.750581
14          0.921842
15          0.808490
16          0.823712
17          0.772730
18          0.845769
19          1.115665
20          0.953458
21          0.848986
22          0.810661
23          0.913838
24          0.842912
25          0.843438
26          0.759072
27          0.867439
28          0.840551
29          0.963435
30          0.840793
31          0.873506
32          0.741979
33          1.056868
34          0.812972
35          1.142463
36          1.025860
37          0.822924
38          0.845718
39          0.824353
40          1.063249
41          0.776050
42          0.837304
43          0.862257
44          0.849354
45          0.825725
46          0.811161
47          0.839822
48          0.846555
49          0.994226
50          0.909080
51          0.725876
52          0.820009
53          0.808528
54          0.704513
55          0.830955
#Macrocell     #Rates [Hz]
1          30.000000
2          30.000000
3          34.000000
4          30.000000
5          32.000000
6          36.000000
7          29.000000
8          34.000000
9          31.000000
10          31.000000
11          35.000000
12          29.000000
13          35.000000
14          32.000000
15          33.000000
16          34.000000
17          35.000000
18          33.000000
19          35.000000
20          28.000000
21          33.000000
22          33.000000
23          34.000000
24          33.000000
25          36.000000
26          34.000000
27          33.000000
28          32.000000
29          36.000000
30          29.000000
31          35.000000
32          33.000000
33          29.000000
34          29.000000
35          35.000000
36          29.000000
37          30.000000
38          37.000000
39          34.000000
40          32.000000
41          29.000000
42          32.000000
43          33.000000
44          32.000000
45          36.000000
46          34.000000
47          31.000000
48          33.000000
49          33.000000
50          32.000000
51          32.000000
52          33.000000
53          31.000000
54          33.000000
55          32.000000
Total rate:          182
#Macrocell     #Threshold [V]
1          1.014057
2          0.797335
3          1.149203
4          0.895836
5          0.918005
6          1.010300
7          1.061272
8          1.073465
9          1.224343
10          0.997518
11          0.946588
12          0.955825
13          0.892067
14          1.095611
15          0.960892
16          0.978984
17          0.918391
18          1.005199
19          1.325970
20          1.133187
21          1.009022
22          0.963472
23          1.086098
24          1.001802
25          1.002428
26          0.902159
27          1.030954
28          0.998996
29          1.145045
30          0.999284
31          1.038164
32          0.881844
33          1.256090
34          0.966219
35          1.357820
36          1.219237
37          0.978047
38          1.005138
39          0.979746
40          1.263674
41          0.922337
42          0.995138
43          1.024794
44          1.009459
45          0.981376
46          0.964067
47          0.998130
48          1.006132
49          1.181640
50          1.080443
51          0.862706
52          0.974582
53          0.960937
54          0.837316
55          0.987592
#Macrocell     #Rates [Hz]
1          28.000000
2          28.000000
3          30.000000
4          28.000000
5          29.000000
6          32.000000
7          27.000000
8          29.000000
9          29.000000
10          28.000000
11          29.000000
12          31.000000
13          30.000000
14          28.000000
15          28.000000
16          30.000000
17          32.000000
18          31.000000
19          30.000000
20          27.000000
21          29.000000
22          30.000000
23          29.000000
24          30.000000
25          32.000000
26          31.000000
27          29.000000
28          30.000000
29          31.000000
30          28.000000
31          30.000000
32          32.000000
33          27.000000
34          28.000000
35          30.000000
36          26.000000
37          27.000000
38          32.000000
39          32.000000
40          30.000000
41          26.000000
42          31.000000
43          29.000000
44          26.000000
45          31.000000
46          31.000000
47          29.000000
48          30.000000
49          30.000000
50          27.000000
51          30.000000
52          31.000000
53          28.000000
54          29.000000
55          29.000000
Total rate:          123
#Macrocell     #Rates [Hz]
1          26.000000
2          26.000000
3          30.000000
4          27.000000
5          28.000000
6          28.000000
7          26.000000
8          29.000000
9          27.000000
10          27.000000
11          29.000000
12          30.000000
13          32.000000
14          28.000000
15          29.000000
16          30.000000
17          33.000000
18          29.000000
19          31.000000
20          27.000000
21          29.000000
22          29.000000
23          30.000000
24          31.000000
25          32.000000
26          32.000000
27          27.000000
28          28.000000
29          31.000000
30          27.000000
31          33.000000
32          30.000000
33          29.000000
34          29.000000
35          29.000000
36          25.000000
37          27.000000
38          31.000000
39          31.000000
40          32.000000
41          25.000000
42          31.000000
43          30.000000
44          27.000000
45          30.000000
46          30.000000
47          29.000000
48          32.000000
49          31.000000
50          27.000000
51          30.000000
52          31.000000
53          26.000000
54          30.000000
55          28.000000
Total rate:          123
#Macrocell     #Threshold [V]
1          1.205209
2          0.947635
3          1.365830
4          1.064703
5          1.091051
6          1.200744
7          1.261324
8          1.275816
9          1.455135
10          1.185552
11          1.125022
12          1.136000
13          1.060224
14          1.302136
15          1.142022
16          1.163525
17          1.091510
18          1.194681
19          1.575919
20          1.346796
21          1.199225
22          1.145089
23          1.290830
24          1.190644
25          1.191388
26          1.072218
27          1.225291
28          1.187309
29          1.360888
30          1.187651
31          1.233860
32          1.048074
33          1.492866
34          1.148354
35          1.613772
36          1.449066
37          1.162411
38          1.194608
39          1.164430
40          1.501879
41          1.096200
42          1.182724
43          1.217970
44          1.199744
45          1.166367
46          1.145796
47          1.186280
48          1.195790
49          1.404382
50          1.284109
51          1.025328
52          1.158293
53          1.142076
54          0.995152
55          1.173755
#Macrocell     #Rates [Hz]
1          28.000000
2          28.000000
3          27.000000
4          28.000000
5          28.000000
6          27.000000
7          27.000000
8          28.000000
9          27.000000
10          28.000000
11          28.000000
12          29.000000
13          28.000000
14          29.000000
15          29.000000
16          29.000000
17          29.000000
18          29.000000
19          29.000000
20          27.000000
21          27.000000
22          26.000000
23          27.000000
24          29.000000
25          30.000000
26          28.000000
27          27.000000
28          28.000000
29          29.000000
30          27.000000
31          27.000000
32          28.000000
33          27.000000
34          28.000000
35          29.000000
36          26.000000
37          27.000000
38          27.000000
39          28.000000
40          28.000000
41          26.000000
42          26.000000
43          27.000000
44          26.000000
45          28.000000
46          28.000000
47          27.000000
48          28.000000
49          29.000000
50          26.000000
51          27.000000
52          28.000000
53          26.000000
54          26.000000
55          26.000000
Total rate:          69
#Macrocell     #Threshold [V]
1          1.432394
2          1.126266
3          1.623292
4          1.265401
5          1.296716
6          1.427086
7          1.499087
8          1.516310
9          1.729431
10          1.409031
11          1.337091
12          1.350139
13          1.260078
14          1.547592
15          1.357296
16          1.382852
17          1.297262
18          1.419881
19          1.872983
20          1.600670
21          1.425282
22          1.360940
23          1.534155
24          1.415084
25          1.415967
26          1.274334
27          1.456261
28          1.411120
29          1.617419
30          1.411526
31          1.466446
32          1.245638
33          1.774275
34          1.364821
35          1.917971
36          1.722218
37          1.381529
38          1.419795
39          1.383928
40          1.784986
41          1.302836
42          1.405670
43          1.447560
44          1.425899
45          1.386230
46          1.361781
47          1.409897
48          1.421199
49          1.669111
50          1.526167
51          1.218604
52          1.376634
53          1.357360
54          1.182740
55          1.395010
#Macrocell     #Rates [Hz]
1          27.000000
2          27.000000
3          26.000000
4          25.000000
5          25.000000
6          27.000000
7          25.000000
8          26.000000
9          26.000000
10          25.000000
11          25.000000
12          25.000000
13          26.000000
14          25.000000
15          26.000000
16          27.000000
17          26.000000
18          25.000000
19          26.000000
20          25.000000
21          25.000000
22          27.000000
23          26.000000
24          25.000000
25          27.000000
26          26.000000
27          25.000000
28          25.000000
29          27.000000
30          25.000000
31          26.000000
32          26.000000
33          25.000000
34          26.000000
35          27.000000
36          25.000000
37          26.000000
38          28.000000
39          26.000000
40          26.000000
41          26.000000
42          25.000000
43          27.000000
44          26.000000
45          26.000000
46          26.000000
47          26.000000
48          26.000000
49          27.000000
50          26.000000
51          25.000000
52          26.000000
53          25.000000
54          25.000000
55          25.000000
Total rate:          40
#Macrocell     #Threshold [V]
1          1.702403
2          1.338570
3          1.929286
4          1.503932
5          1.541150
6          1.696095
7          1.781668
8          1.802138
9          2.000000
10          1.674637
11          1.589136
12          1.604643
13          1.497606
14          1.839317
15          1.613149
16          1.643522
17          1.541799
18          1.687532
19          2.000000
20          1.902399
21          1.693950
22          1.617481
23          1.823346
24          1.681830
25          1.682880
26          1.514549
27          1.730769
28          1.677119
29          1.922306
30          1.677602
31          1.742874
32          1.480444
33          2.000000
34          1.622093
35          2.000000
36          2.000000
37          1.641950
38          1.687429
39          1.644801
40          2.000000
41          1.548423
42          1.670642
43          1.720428
44          1.694684
45          1.647537
46          1.618480
47          1.675665
48          1.689099
49          1.983742
50          1.813853
51          1.448314
52          1.636132
53          1.613225
54          1.405689
55          1.657973
#Macrocell     #Rates [Hz]
1          25.000000
2          25.000000
3          25.000000
4          25.000000
5          11.000000
6          25.000000
7          0.000000
8          25.000000
9          25.000000
10          0.000000
11          25.000000
12          25.000000
13          25.000000
14          25.000000
15          25.000000
16          25.000000
17          25.000000
18          14.000000
19          25.000000
20          0.000000
21          25.000000
22          25.000000
23          25.000000
24          25.000000
25          26.000000
26          25.000000
27          25.000000
28          26.000000
29          25.000000
30          0.000000
31          25.000000
32          26.000000
33          0.000000
34          25.000000
35          25.000000
36          0.000000
37          0.000000
38          25.000000
39          26.000000
40          25.000000
41          0.000000
42          25.000000
43          26.000000
44          0.000000
45          25.000000
46          25.000000
47          25.000000
48          25.000000
49          25.000000
50          0.000000
51          25.000000
52          25.000000
53          0.000000
54          25.000000
55          0.000000
Total rate:          31
#Macrocell     #Threshold [V]
1          2.000000
2          1.590893
3          2.000000
4          1.787427
5          1.831660
6          2.000000
7          2.000000
8          2.000000
9          2.000000
10          1.990310
11          1.888692
12          1.907122
13          1.779908
14          2.000000
15          1.917232
16          1.953330
17          1.832431
18          2.000000
19          2.000000
20          2.000000
21          2.000000
22          1.922379
23          2.000000
24          1.998859
25          2.000000
26          1.800044
27          2.000000
28          1.993260
29          2.000000
30          1.993834
31          2.000000
32          1.759511
33          2.000000
34          1.927861
35          2.000000
36          2.000000
37          1.951461
38          2.000000
39          1.954850
40          2.000000
41          1.840304
42          1.985561
43          2.000000
44          2.000000
45          1.958102
46          1.923567
47          1.991532
48          2.000000
49          2.000000
50          2.000000
51          1.721324
52          1.944547
53          1.917322
54          1.670665
55          1.970505
#Macrocell     #Rates [Hz]
1          0.000000
2          0.000000
3          0.000000
4          0.000000
5          0.000000
6          25.000000
7          0.000000
8          0.000000
9          0.000000
10          0.000000
11          0.000000
12          0.000000
13          0.000000
14          0.000000
15          0.000000
16          25.000000
17          0.000000
18          0.000000
19          0.000000
20          0.000000
21          0.000000
22          0.000000
23          19.000000
24          0.000000
25          0.000000
26          0.000000
27          0.000000
28          0.000000
29          0.000000
30          0.000000
31          0.000000
32          0.000000
33          0.000000
34          25.000000
35          0.000000
36          0.000000
37          0.000000
38          0.000000
39          0.000000
40          0.000000
41          0.000000
42          0.000000
43          0.000000
44          0.000000
45          0.000000
46          0.000000
47          0.000000
48          2.000000
49          0.000000
50          0.000000
51          0.000000
52          0.000000
53          0.000000
54          0.000000
55          0.000000
Total rate:          26
