#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
9    0.280000    21    
10    0.280000    25    
11    0.080000    0    
12    0.280000    25    
13    0.280000    25    
14    0.080000    0    
15    0.280000    25    
16    0.280000    22    
17    0.480000    21    
18    0.280000    25    
19    0.080000    0    
20    0.480000    19    
21    0.280000    25    
22    0.080000    0    
23    0.480000    21    
24    0.080000    0    
25    0.080000    0    
26    0.280000    25    
27    0.480000    20    
28    0.280000    23    
29    0.280000    25    
30    0.080000    25    
31    0.280000    25    
32    0.080000    0    
33    0.280000    25    
34    0.280000    25    
35    0.080000    0    
36    0.280000    25    
37    0.080000    0    
38    0.280000    23    
39    0.080000    0    
40    0.280000    25    
41    0.080000    0    
42    0.280000    25    
43    0.080000    0    
44    0.280000    25    
45    0.280000    25    
46    0.080000    0    
47    0.280000    23    
48    0.480000    10    
49    0.280000    25    
50    0.080000    0    
51    0.080000    0    
52    0.080000    0    
53    0.280000    25    
54    0.080000    0    
55    0.480000    13    

#Macrocel    #Threshold    #Rate[Hz]
1    0.300000    24    
2    0.100000    0    
3    0.300000    23    
4    0.100000    0    
5    0.300000    25    
6    0.300000    13    
7    0.500000    20    
8    0.100000    0    
9    0.300000    14    
10    0.300000    21    
11    0.100000    0    
12    0.300000    25    
13    0.300000    25    
14    0.100000    0    
15    0.300000    22    
16    0.300000    17    
17    0.500000    16    
18    0.300000    25    
19    0.100000    0    
20    0.500000    18    
21    0.300000    25    
22    0.100000    0    
23    0.500000    20    
24    0.100000    0    
25    0.100000    0    
26    0.300000    25    
27    0.500000    20    
28    0.300000    19    
29    0.300000    25    
30    0.100000    25    
31    0.300000    25    
32    0.100000    0    
33    0.300000    21    
34    0.300000    25    
35    0.100000    0    
36    0.300000    25    
37    0.100000    0    
38    0.300000    24    
39    0.100000    0    
40    0.300000    25    
41    0.100000    0    
42    0.300000    21    
43    0.100000    0    
44    0.300000    22    
45    0.300000    25    
46    0.100000    0    
47    0.300000    24    
48    0.500000    10    
49    0.300000    25    
50    0.100000    0    
51    0.100000    0    
52    0.100000    0    
53    0.300000    22    
54    0.100000    0    
55    0.500000    13    

#Macrocel    #Threshold    #Rate[Hz]
1    0.320000    23    
2    0.120000    0    
3    0.320000    19    
4    0.120000    0    
5    0.320000    25    
6    0.320000    17    
7    0.520000    12    
8    0.120000    0    
9    0.320000    17    
10    0.320000    22    
11    0.120000    0    
12    0.320000    25    
13    0.320000    25    
14    0.120000    0    
15    0.320000    22    
16    0.320000    15    
17    0.520000    21    
18    0.320000    25    
19    0.120000    0    
20    0.520000    9    
21    0.320000    25    
22    0.120000    0    
23    0.520000    22    
24    0.120000    0    
25    0.120000    0    
26    0.320000    25    
27    0.520000    10    
28    0.320000    20    
29    0.320000    25    
30    0.120000    23    
31    0.320000    25    
32    0.120000    0    
33    0.320000    24    
34    0.320000    25    
35    0.120000    0    
36    0.320000    25    
37    0.120000    0    
38    0.320000    18    
39    0.120000    0    
40    0.320000    24    
41    0.120000    0    
42    0.320000    22    
43    0.120000    0    
44    0.320000    21    
45    0.320000    25    
46    0.120000    0    
47    0.320000    21    
48    0.520000    7    
49    0.320000    24    
50    0.120000    0    
51    0.120000    0    
52    0.120000    0    
53    0.320000    19    
54    0.120000    0    
55    0.520000    10    

#Macrocel    #Threshold    #Rate[Hz]
1    0.340000    25    
2    0.140000    0    
3    0.340000    17    
4    0.140000    0    
5    0.340000    25    
6    0.340000    8    
7    0.540000    15    
8    0.140000    0    
9    0.340000    9    
10    0.340000    23    
11    0.140000    0    
12    0.340000    25    
13    0.340000    23    
14    0.140000    0    
15    0.340000    24    
16    0.340000    12    
17    0.540000    7    
18    0.340000    23    
19    0.140000    0    
20    0.540000    7    
21    0.340000    24    
22    0.140000    0    
23    0.540000    7    
24    0.140000    0    
25    0.140000    0    
26    0.340000    25    
27    0.540000    7    
28    0.340000    16    
29    0.340000    24    
30    0.140000    25    
31    0.340000    25    
32    0.140000    0    
33    0.340000    23    
34    0.340000    25    
35    0.140000    0    
36    0.340000    24    
37    0.140000    0    
38    0.340000    19    
39    0.140000    0    
40    0.340000    25    
41    0.140000    0    
42    0.340000    23    
43    0.140000    0    
44    0.340000    18    
45    0.340000    25    
46    0.140000    0    
47    0.340000    19    
48    0.540000    1    
49    0.340000    24    
50    0.140000    0    
51    0.140000    0    
52    0.140000    0    
53    0.340000    17    
54    0.140000    0    
55    0.540000    1    

#Macrocel    #Threshold    #Rate[Hz]
1    0.360000    23    
2    0.160000    0    
3    0.360000    12    
4    0.160000    0    
5    0.360000    25    
6    0.360000    6    
7    0.560000    7    
8    0.160000    0    
9    0.360000    8    
10    0.360000    12    
11    0.160000    0    
12    0.360000    25    
13    0.360000    21    
14    0.160000    0    
15    0.360000    12    
16    0.360000    7    
17    0.560000    9    
18    0.360000    21    
19    0.160000    0    
20    0.560000    6    
21    0.360000    24    
22    0.160000    0    
23    0.560000    10    
24    0.160000    0    
25    0.160000    0    
26    0.360000    25    
27    0.560000    7    
28    0.360000    15    
29    0.360000    23    
30    0.160000    25    
31    0.360000    25    
32    0.160000    0    
33    0.360000    15    
34    0.360000    25    
35    0.160000    0    
36    0.360000    23    
37    0.160000    0    
38    0.360000    11    
39    0.160000    0    
40    0.360000    24    
41    0.160000    0    
42    0.360000    15    
43    0.160000    0    
44    0.360000    10    
45    0.360000    25    
46    0.160000    0    
47    0.360000    16    
48    0.560000    1    
49    0.360000    24    
50    0.160000    0    
51    0.160000    0    
52    0.160000    0    
53    0.360000    10    
54    0.160000    0    
55    0.560000    3    

#Macrocel    #Threshold    #Rate[Hz]
1    0.380000    21    
2    0.180000    0    
3    0.380000    11    
4    0.180000    0    
5    0.380000    23    
6    0.380000    3    
7    0.580000    5    
8    0.180000    0    
9    0.380000    4    
10    0.380000    12    
11    0.180000    0    
12    0.380000    23    
13    0.380000    25    
14    0.180000    0    
15    0.380000    14    
16    0.380000    4    
17    0.580000    11    
18    0.380000    25    
19    0.180000    0    
20    0.580000    4    
21    0.380000    22    
22    0.180000    0    
23    0.580000    13    
24    0.180000    0    
25    0.180000    0    
26    0.380000    21    
27    0.580000    4    
28    0.380000    7    
29    0.380000    19    
30    0.180000    24    
31    0.380000    21    
32    0.180000    0    
33    0.380000    14    
34    0.380000    24    
35    0.180000    0    
36    0.380000    18    
37    0.180000    0    
38    0.380000    12    
39    0.180000    0    
40    0.380000    21    
41    0.180000    0    
42    0.380000    14    
43    0.180000    0    
44    0.380000    6    
45    0.380000    24    
46    0.180000    0    
47    0.380000    14    
48    0.580000    2    
49    0.380000    20    
50    0.180000    0    
51    0.180000    0    
52    0.180000    0    
53    0.380000    3    
54    0.180000    0    
55    0.580000    3    

#Macrocel    #Threshold    #Rate[Hz]
1    0.400000    21    
2    0.200000    0    
3    0.400000    13    
4    0.200000    0    
5    0.400000    22    
6    0.400000    0    
7    0.600000    4    
8    0.200000    0    
9    0.400000    1    
10    0.400000    2    
11    0.200000    0    
12    0.400000    23    
13    0.400000    23    
14    0.200000    0    
15    0.400000    4    
16    0.400000    4    
17    0.600000    8    
18    0.400000    22    
19    0.200000    0    
20    0.600000    4    
21    0.400000    13    
22    0.200000    0    
23    0.600000    8    
24    0.200000    0    
25    0.200000    0    
26    0.400000    19    
27    0.600000    5    
28    0.400000    4    
29    0.400000    21    
30    0.200000    23    
31    0.400000    20    
32    0.200000    0    
33    0.400000    12    
34    0.400000    22    
35    0.200000    0    
36    0.400000    18    
37    0.200000    0    
38    0.400000    7    
39    0.200000    0    
40    0.400000    17    
41    0.200000    0    
42    0.400000    12    
43    0.200000    0    
44    0.400000    7    
45    0.400000    21    
46    0.200000    0    
47    0.400000    8    
48    0.600000    2    
49    0.400000    17    
50    0.200000    0    
51    0.200000    0    
52    0.200000    0    
53    0.400000    5    
54    0.200000    0    
55    0.600000    2    

#Macrocel    #Threshold    #Rate[Hz]
1    0.420000    14    
2    0.220000    0    
3    0.420000    1    
4    0.220000    0    
5    0.420000    23    
6    0.420000    0    
7    0.620000    4    
8    0.220000    0    
9    0.420000    0    
10    0.420000    4    
11    0.220000    0    
12    0.420000    23    
13    0.420000    20    
14    0.220000    0    
15    0.420000    4    
16    0.420000    0    
17    0.620000    2    
18    0.420000    19    
19    0.220000    0    
20    0.620000    2    
21    0.420000    14    
22    0.220000    0    
23    0.620000    3    
24    0.220000    0    
25    0.220000    0    
26    0.420000    13    
27    0.620000    2    
28    0.420000    1    
29    0.420000    15    
30    0.220000    25    
31    0.420000    13    
32    0.220000    0    
33    0.420000    10    
34    0.420000    21    
35    0.220000    0    
36    0.420000    13    
37    0.220000    0    
38    0.420000    4    
39    0.220000    0    
40    0.420000    14    
41    0.220000    0    
42    0.420000    10    
43    0.220000    0    
44    0.420000    1    
45    0.420000    20    
46    0.220000    0    
47    0.420000    6    
48    0.620000    0    
49    0.420000    13    
50    0.220000    0    
51    0.220000    0    
52    0.220000    0    
53    0.420000    1    
54    0.220000    0    
55    0.620000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.440000    9    
2    0.240000    0    
3    0.440000    2    
4    0.240000    0    
5    0.440000    22    
6    0.440000    0    
7    0.640000    3    
8    0.240000    0    
9    0.440000    0    
10    0.440000    1    
11    0.240000    0    
12    0.440000    22    
13    0.440000    20    
14    0.240000    0    
15    0.440000    2    
16    0.440000    1    
17    0.640000    4    
18    0.440000    20    
19    0.240000    0    
20    0.640000    1    
21    0.440000    9    
22    0.240000    0    
23    0.640000    4    
24    0.240000    0    
25    0.240000    0    
26    0.440000    4    
27    0.640000    1    
28    0.440000    2    
29    0.440000    15    
30    0.240000    25    
31    0.440000    4    
32    0.240000    0    
33    0.440000    7    
34    0.440000    21    
35    0.240000    0    
36    0.440000    13    
37    0.240000    0    
38    0.440000    3    
39    0.240000    0    
40    0.440000    10    
41    0.240000    0    
42    0.440000    6    
43    0.240000    0    
44    0.440000    1    
45    0.440000    19    
46    0.240000    0    
47    0.440000    4    
48    0.640000    0    
49    0.440000    10    
50    0.240000    0    
51    0.240000    0    
52    0.240000    0    
53    0.440000    1    
54    0.240000    0    
55    0.640000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.460000    6    
2    0.260000    0    
3    0.460000    1    
4    0.260000    0    
5    0.460000    18    
6    0.460000    0    
7    0.660000    1    
8    0.260000    0    
9    0.460000    0    
10    0.460000    2    
11    0.260000    0    
12    0.460000    18    
13    0.460000    15    
14    0.260000    0    
15    0.460000    2    
16    0.460000    0    
17    0.660000    2    
18    0.460000    14    
19    0.260000    0    
20    0.660000    2    
21    0.460000    11    
22    0.260000    0    
23    0.660000    2    
24    0.260000    0    
25    0.260000    0    
26    0.460000    9    
27    0.660000    2    
28    0.460000    0    
29    0.460000    10    
30    0.260000    25    
31    0.460000    11    
32    0.260000    0    
33    0.460000    3    
34    0.460000    18    
35    0.260000    0    
36    0.460000    10    
37    0.260000    0    
38    0.460000    1    
39    0.260000    0    
40    0.460000    11    
41    0.260000    0    
42    0.460000    3    
43    0.260000    0    
44    0.460000    0    
45    0.460000    16    
46    0.260000    0    
47    0.460000    2    
48    0.660000    0    
49    0.460000    11    
50    0.260000    0    
51    0.260000    0    
52    0.260000    0    
53    0.460000    0    
54    0.260000    0    
55    0.660000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.480000    6    
2    0.280000    0    
3    0.480000    0    
4    0.280000    0    
5    0.480000    16    
6    0.480000    0    
7    0.680000    0    
8    0.280000    0    
9    0.480000    0    
10    0.480000    0    
11    0.280000    0    
12    0.480000    16    
13    0.480000    13    
14    0.280000    0    
15    0.480000    0    
16    0.480000    0    
17    0.680000    1    
18    0.480000    12    
19    0.280000    0    
20    0.680000    0    
21    0.480000    2    
22    0.280000    0    
23    0.680000    1    
