#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
54    0.090000    0    
55    0.290000    25    

#Macrocel    #Threshold    #Rate[Hz]
1    0.520000    17    
2    0.120000    0    
3    0.520000    18    
4    0.120000    0    
5    0.320000    23    
6    0.520000    21    
7    0.320000    25    
8    0.120000    0    
9    0.520000    21    
10    0.520000    22    
11    0.120000    0    
12    0.320000    23    
13    0.320000    23    
14    0.120000    0    
15    0.520000    22    
16    0.520000    18    
17    0.320000    21    
18    0.320000    23    
19    0.120000    0    
20    0.320000    22    
21    0.320000    25    
22    0.120000    0    
23    0.320000    21    
24    0.120000    0    
25    0.120000    0    
26    0.320000    25    
27    0.320000    22    
28    0.520000    18    
29    0.320000    23    
30    0.320000    25    
31    0.320000    25    
32    0.120000    0    
33    0.320000    25    
34    0.320000    24    
35    0.120000    0    
36    0.320000    23    
37    0.120000    0    
38    0.520000    16    
39    0.120000    0    
40    0.320000    22    
41    0.120000    0    
42    0.320000    25    
43    0.120000    0    
44    0.520000    20    
45    0.320000    23    
46    0.120000    0    
47    0.520000    16    
48    0.320000    24    
49    0.320000    21    
50    0.120000    0    
51    0.120000    0    
52    0.120000    0    
53    0.520000    19    
54    0.120000    0    
55    0.320000    24    

#Macrocel    #Threshold    #Rate[Hz]
1    0.550000    20    
2    0.150000    0    
3    0.550000    8    
4    0.150000    0    
5    0.350000    22    
6    0.550000    17    
7    0.350000    24    
8    0.150000    0    
9    0.550000    17    
10    0.550000    10    
11    0.150000    0    
12    0.350000    22    
13    0.350000    20    
14    0.150000    0    
15    0.550000    11    
16    0.550000    14    
17    0.350000    22    
18    0.350000    20    
19    0.150000    0    
20    0.350000    23    
21    0.350000    25    
22    0.150000    0    
23    0.350000    22    
24    0.150000    0    
25    0.150000    0    
26    0.350000    25    
27    0.350000    24    
28    0.550000    17    
29    0.350000    20    
30    0.350000    25    
31    0.350000    25    
32    0.150000    0    
33    0.350000    25    
34    0.350000    19    
35    0.150000    0    
36    0.350000    19    
37    0.150000    0    
38    0.550000    18    
39    0.150000    0    
40    0.350000    23    
41    0.150000    0    
42    0.350000    25    
43    0.150000    0    
44    0.550000    20    
45    0.350000    18    
46    0.150000    0    
47    0.550000    19    
48    0.350000    23    
49    0.350000    23    
50    0.150000    0    
51    0.150000    0    
52    0.150000    0    
53    0.550000    16    
54    0.150000    0    
55    0.350000    24    

#Macrocel    #Threshold    #Rate[Hz]
1    0.580000    12    
2    0.180000    0    
3    0.580000    2    
4    0.180000    0    
5    0.380000    10    
6    0.580000    14    
7    0.380000    19    
8    0.180000    0    
9    0.580000    14    
10    0.580000    8    
11    0.180000    0    
12    0.380000    10    
13    0.380000    17    
14    0.180000    0    
15    0.580000    8    
16    0.580000    4    
17    0.380000    13    
18    0.380000    17    
19    0.180000    0    
20    0.380000    17    
21    0.380000    24    
22    0.180000    0    
23    0.380000    15    
24    0.180000    0    
25    0.180000    0    
26    0.380000    24    
27    0.380000    18    
28    0.580000    7    
29    0.380000    14    
30    0.380000    24    
31    0.380000    24    
32    0.180000    0    
33    0.380000    25    
34    0.380000    15    
35    0.180000    0    
36    0.380000    12    
37    0.180000    0    
38    0.580000    12    
39    0.180000    0    
40    0.380000    21    
41    0.180000    0    
42    0.380000    25    
43    0.180000    0    
44    0.580000    15    
45    0.380000    13    
46    0.180000    0    
47    0.580000    13    
48    0.380000    16    
49    0.380000    21    
50    0.180000    0    
51    0.180000    0    
52    0.180000    0    
53    0.580000    12    
54    0.180000    0    
